Movie Name,Year of Release,Duration,Genre,Certificate,Movie Rating,Description,Director,Stars,Votes,Gross,processed_description,description_sentiment
Trip Moon,1902,13.0,Short Action Adventure            ,TV-G,8.2,group astronomer go expedition Moon .,Georges Méliès,Georges Mlis,54487,0.0,a group of astronomers go on an expedition to the moon,neutral
Great Train Robbery,1903,11.0,Short Action Adventure            ,TV-G,7.3,"group bandit stage brazen train hold-up , find determined posse hot heel .",Edwin S. Porter,Gilbert M. Broncho Billy Anderson,20603,0.0,a group of bandits stage a brazen train holdup only to find a determined posse hot on their heels,low positive
Les vampires,1915,421.0,Action Adventure Crime            ,Not Rated,7.3,intrepid reporter loyal friend battle bizarre secret society criminal known Vampires .,Louis Feuillade,Musidora,5331,0.0,an intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as the vampires,low positive
Intolerance,1916,163.0,Drama History            ,Passed,7.7,story poor young woman separated prejudice husband baby interwoven tale intolerance throughout history .,D.W. Griffith,Lillian Gish,16521,2.18,the story of a poor young woman separated by prejudice from her husband and baby is interwoven with tales of intolerance from throughout history,low negative
Judex,1916,300.0,Adventure Crime            ,Not Rated,7.2,twelve-part serial following adventure masked vigilante Judex fight criminal led corrupt banker Favrauxom .,Louis Feuillade,Ren Crest,1109,0.0,a twelvepart serial following the adventures of the masked vigilante judex as he fights against criminals led by the corrupt banker favrauxom,low negative
Broken Blossoms Yellow Man Girl,1919,90.0,Drama Romance            ,Not Rated,7.2,"frail waif , abused brutal boxer father London 's seedy Limehouse District , befriended sensitive Chinese immigrant tragic consequence .",D.W. Griffith,Lillian Gish,10931,0.0,a frail waif abused by her brutal boxer father in londons seedy limehouse district is befriended by a sensitive chinese immigrant with tragic consequences,low negative
Cabinet Dr. Caligari,1920,67.0,Horror Mystery Thriller            ,Not Rated,8.0,"Hypnotist Dr. Caligari us somnambulist , Cesare , commit murder .",Robert Wiene,Werner Krauss,68840,0.0,hypnotist dr caligari uses a somnambulist cesare to commit murders,neutral
Way East,1920,145.0,Drama Romance            ,Passed,7.3,"naive country girl tricked sham marriage wealthy womanizer , must rebuild life despite taint borne child wedlock .",D.W. Griffith,Lillian Gish,5820,4.5,a naive country girl is tricked into a sham marriage by a wealthy womanizer then must rebuild her life despite the taint of having borne a child out of wedlock,neutral
Four Horsemen Apocalypse,1921,150.0,Drama Romance War            ,Passed,7.1,extended family split France Germany find opposing side battlefield World War .,Rex Ingram,Rudolph Valentino,3514,9.2,an extended family split up in france and germany find themselves on opposing sides of the battlefield during world war i,neutral
Kid,1921,68.0,Comedy Drama Family            ,Passed,8.2,"Tramp care abandoned child , event put relationship jeopardy .",Charles Chaplin,Charles Chaplin,132885,5.45,the tramp cares for an abandoned child but events put their relationship in jeopardy,neutral
